community	parCol	i	j	Niche_i	Niche_j	pctGrass_i	pctGrass_j	BM_i	BM_j	Rmax_i	Rmax_j	d13Cmean_i	d13Cmean_j	d13Csd_i	d13Csd_j	d15Nmean_i	d15Nmean_j	d15Nsd_i	d15Nsd_j	SEAi_mean	SEAj_mean	SEA_p_ilarger	SEA_p_jlarger	isunique	O	Oij	rho	Olap
Kruger_NB_2005_2	10	Giraffa_camelopardalis	Syncerus_caffer	BR	GR	0.9	90	900	580	0.1751	0.1647	-25.789	-13.211	0.7009	1.0158	5.852	4.884	0.7816	0.7245	1.7294	1.9089	0.4198	0.5803	1	0	0	0	0
Kruger_NB_2005_3	1	Aepyceros_melampus	Connochaetes_taurinus	IM	GR	60	87.5	52.5	180	0.3086	0.3073	-15.949	-14.7022	0.8337	0.6659	7.394	4.45	0.5742	0.6841	1.6607	1.5861	0.5403	0.4598	1	0.0267	0.0557	0.0498	0.084314979447419
Kruger_NB_2005_3	2	Aepyceros_melampus	Equus_quagga	IM	GR	60	90	52.5	276	0.3086	0.1853	-15.949	-14.2	0.8337	0.5786	7.394	4.793	0.5742	0.7428	1.6607	1.5054	0.59	0.41	1	0.0343	0.064	0.0643	0.104950034018639
Kruger_NB_2005_3	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-15.949	-25.5	0.8337	0.708	7.394	4.7813	0.5742	1.5689	1.6607	3.7307	0.047	0.953	1	0	0	0	0
Kruger_NB_2005_3	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-15.949	-13.671	0.8337	0.4612	7.394	5.826	0.5742	1.229	1.6607	1.9552	0.36	0.64	1	0.068	0.1433	0.1268	0.230292771082163
Kruger_NB_2005_3	5	Connochaetes_taurinus	Equus_quagga	GR	GR	87.5	90	180	276	0.3073	0.1853	-14.7022	-14.2	0.6659	0.5786	4.45	4.793	0.6841	0.7428	1.5861	1.5054	0.5385	0.4615	1	0.4176	0.5776	0.5944	0.910659731726252
Kruger_NB_2005_3	6	Connochaetes_taurinus	Giraffa_camelopardalis	GR	BR	87.5	0.9	180	900	0.3073	0.1751	-14.7022	-25.5	0.6659	0.708	4.45	4.7813	0.6841	1.5689	1.5861	3.7307	0.0473	0.9528	1	0	0	0	0
Kruger_NB_2005_3	7	Connochaetes_taurinus	Syncerus_caffer	GR	GR	87.5	90	180	580	0.3073	0.1647	-14.7022	-13.671	0.6659	0.4612	4.45	5.826	0.6841	1.229	1.5861	1.9552	0.323	0.677	1	0.226	0.4346	0.3749	0.652740563307504
Kruger_NB_2005_3	8	Equus_quagga	Giraffa_camelopardalis	GR	BR	90	0.9	276	900	0.1853	0.1751	-14.2	-25.5	0.5786	0.708	4.793	4.7813	0.7428	1.5689	1.5054	3.7307	0.034	0.966	1	0	0	0	0
Kruger_NB_2005_3	9	Equus_quagga	Syncerus_caffer	GR	GR	90	90	276	580	0.1853	0.1647	-14.2	-13.671	0.5786	0.4612	4.793	5.826	0.7428	1.229	1.5054	1.9552	0.2783	0.7218	1	0.341	0.6503	0.5248	0.879981175717088
Kruger_NB_2005_3	10	Giraffa_camelopardalis	Syncerus_caffer	BR	GR	0.9	90	900	580	0.1751	0.1647	-25.5	-13.671	0.708	0.4612	4.7813	5.826	1.5689	1.229	3.7307	1.9552	0.9043	0.0958	1	0	0	0	0
Kruger_NB_2005_4	1	Aepyceros_melampus	Connochaetes_taurinus	IM	GR	60	87.5	52.5	180	0.3086	0.3073	-18.559	-14.569	3.2649	1.8157	7.37	4.789	1.5694	0.8787	17.8252	5.2042	0.9963	0.0038	1	0.1612	0.1808	0.3334	3.19684391896383
Kruger_NB_2005_4	2	Aepyceros_melampus	Equus_quagga	IM	GR	60	90	52.5	276	0.3086	0.1853	-18.559	-14.4922	3.2649	0.9908	7.37	4.9189	1.5694	0.9115	17.8252	2.9838	0.9998	0.0002	1	0.1117	0.1194	0.2795	2.09137422727255
Kruger_NB_2005_4	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-18.559	-25.597	3.2649	0.7077	7.37	5.308	1.5694	1.0272	17.8252	2.3022	1	0	1	0.0445	0.0474	0.1332	0.857145639032794
Kruger_NB_2005_4	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-18.559	-15.69	3.2649	1.1322	7.37	4.9144	1.5694	0.7297	17.8252	2.8033	1	0	1	0.1191	0.1242	0.3082	2.19527164076498
Kruger_NB_2005_4	5	Connochaetes_taurinus	Equus_quagga	GR	GR	87.5	90	180	276	0.3073	0.1853	-14.569	-14.4922	1.8157	0.9908	4.789	4.9189	0.8787	0.9115	5.2042	2.9838	0.88	0.12	1	0.4479	0.5104	0.6398	2.53306667085215
Kruger_NB_2005_4	6	Connochaetes_taurinus	Giraffa_camelopardalis	GR	BR	87.5	0.9	180	900	0.3073	0.1751	-14.569	-25.597	1.8157	0.7077	4.789	5.308	0.8787	1.0272	5.2042	2.3022	0.9635	0.0365	1	0	0	0	9.99E-21
Kruger_NB_2005_4	7	Connochaetes_taurinus	Syncerus_caffer	GR	GR	87.5	90	180	580	0.3073	0.1647	-14.569	-15.69	1.8157	1.1322	4.789	4.9144	0.8787	0.7297	5.2042	2.8033	0.908	0.092	1	0.4333	0.4788	0.6327	2.4208064387264
Kruger_NB_2005_4	8	Equus_quagga	Giraffa_camelopardalis	GR	BR	90	0.9	276	900	0.1853	0.1751	-14.4922	-25.597	0.9908	0.7077	4.9189	5.308	0.9115	1.0272	2.9838	2.3022	0.6988	0.3013	1	0	0	0	0
Kruger_NB_2005_4	9	Equus_quagga	Syncerus_caffer	GR	GR	90	90	276	580	0.1853	0.1647	-14.4922	-15.69	0.9908	1.1322	4.9189	4.9144	0.9115	0.7297	2.9838	2.8033	0.5465	0.4535	1	0.4206	0.5987	0.6016	1.7133537079629
Kruger_NB_2005_4	10	Giraffa_camelopardalis	Syncerus_caffer	BR	GR	0.9	90	900	580	0.1751	0.1647	-25.597	-15.69	0.7077	1.1322	5.308	4.9144	1.0272	0.7297	2.3022	2.8033	0.36	0.64	1	0	0	0	0
Kruger_NB_2005_5	1	Aepyceros_melampus	Connochaetes_taurinus	IM	GR	60	87.5	52.5	180	0.3086	0.3073	-17.269	-14.445	1.1348	0.4283	6.438	4.537	0.7884	0.4124	2.9203	0.373	1	0	1	0.0161	0.017	0.0529	0.052193480777933
Kruger_NB_2005_5	2	Aepyceros_melampus	Equus_quagga	IM	GR	60	90	52.5	276	0.3086	0.1853	-17.269	-14.861	1.1348	0.2568	6.438	4.441	0.7884	0.6456	2.9203	0.5627	1	0	1	0.0463	0.0518	0.1219	0.154230848682688
Kruger_NB_2005_5	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-17.269	-25.775	1.1348	0.1149	6.438	5.455	0.7884	0.8683	2.9203	0.2646	1	0	1	0	0	0	0
Kruger_NB_2005_5	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-17.269	-15.2	1.1348	0.3695	6.438	5.114	0.7884	0.3388	2.9203	0.3643	1	0	1	0.0645	0.0678	0.1902	0.19909554414728
Kruger_NB_2005_5	5	Connochaetes_taurinus	Equus_quagga	GR	GR	87.5	90	180	276	0.3073	0.1853	-14.445	-14.861	0.4283	0.2568	4.537	4.441	0.4124	0.6456	0.373	0.5627	0.1798	0.8203	1	0.2327	0.4758	0.3805	0.176599480158491
Kruger_NB_2005_5	6	Connochaetes_taurinus	Giraffa_camelopardalis	GR	BR	87.5	0.9	180	900	0.3073	0.1751	-14.445	-25.775	0.4283	0.1149	4.537	5.455	0.4124	0.8683	0.373	0.2646	0.778	0.222	1	0	0	0	0
Kruger_NB_2005_5	7	Connochaetes_taurinus	Syncerus_caffer	GR	GR	87.5	90	180	580	0.3073	0.1647	-14.445	-15.2	0.4283	0.3695	4.537	5.114	0.4124	0.3388	0.373	0.3643	0.5238	0.4763	1	0.0609	0.1134	0.1048	0.042328742902011
Kruger_NB_2005_5	8	Equus_quagga	Giraffa_camelopardalis	GR	BR	90	0.9	276	900	0.1853	0.1751	-14.861	-25.775	0.2568	0.1149	4.441	5.455	0.6456	0.8683	0.5627	0.2646	0.9523	0.0478	1	0	0	0	0
Kruger_NB_2005_5	9	Equus_quagga	Syncerus_caffer	GR	GR	90	90	276	580	0.1853	0.1647	-14.861	-15.2	0.2568	0.3695	4.441	5.114	0.6456	0.3388	0.5627	0.3643	0.8298	0.1703	1	0.2153	0.2944	0.3527	0.164213369816977
Kruger_NB_2005_5	10	Giraffa_camelopardalis	Syncerus_caffer	BR	GR	0.9	90	900	580	0.1751	0.1647	-25.775	-15.2	0.1149	0.3695	5.455	5.114	0.8683	0.3388	0.2646	0.3643	0.239	0.761	1	0	0	0	0

